"AvailabilityZone","InstanceType","Price","ProductDescription","Timestamp"
"ap-northeast-2c","x1e.8xlarge","10.750900","Windows","5/30/19 6:28:52 PM"
"ap-northeast-2a","x1e.2xlarge","2.786000","Windows","5/30/19 6:20:56 PM"
"ap-northeast-2c","g3.8xlarge","3.300100","Windows","5/30/19 5:50:49 PM"
"ap-northeast-2a","g3.8xlarge","2.324000","Windows","5/30/19 5:50:49 PM"
"ap-northeast-2c","g3.8xlarge","1.828300","Linux/UNIX","5/30/19 5:50:49 PM"
"ap-northeast-2a","g3.8xlarge","0.852000","Linux/UNIX","5/30/19 5:50:49 PM"
"ap-northeast-2c","m4.large","0.122000","Windows","5/30/19 5:43:52 PM"
"ap-northeast-2a","m4.large","0.122000","Windows","5/30/19 5:43:52 PM"
"ap-northeast-2c","m4.large","0.030000","Linux/UNIX","5/30/19 5:43:52 PM"
"ap-northeast-2a","m4.large","0.030000","Linux/UNIX","5/30/19 5:43:52 PM"
"ap-northeast-2c","c5.9xlarge","0.541800","Linux/UNIX","5/30/19 5:43:52 PM"
"ap-northeast-2b","c5.9xlarge","0.539400","Linux/UNIX","5/30/19 5:43:52 PM"
"ap-northeast-2a","c5.9xlarge","0.539400","Linux/UNIX","5/30/19 5:43:52 PM"
"ap-northeast-2c","c5.9xlarge","2.195400","Windows","5/30/19 5:43:51 PM"
"ap-northeast-2b","c5.9xlarge","2.195400","Windows","5/30/19 5:43:51 PM"
"ap-northeast-2a","c5.9xlarge","2.195400","Windows","5/30/19 5:43:51 PM"
"ap-northeast-2c","m5.12xlarge","0.755200","Linux/UNIX","5/30/19 5:43:51 PM"
"ap-northeast-2b","m5.12xlarge","0.755200","Linux/UNIX","5/30/19 5:43:51 PM"
"ap-northeast-2a","m5.12xlarge","0.755200","Linux/UNIX","5/30/19 5:43:51 PM"
"ap-northeast-2c","g3.16xlarge","3.499800","Linux/UNIX","5/30/19 5:43:51 PM"
"ap-northeast-2a","g3.16xlarge","1.763200","Linux/UNIX","5/30/19 5:43:51 PM"
"ap-northeast-2c","m5.12xlarge","2.963200","Windows","5/30/19 5:43:51 PM"
"ap-northeast-2b","m5.12xlarge","2.963200","Windows","5/30/19 5:43:51 PM"
"ap-northeast-2a","m5.12xlarge","2.963200","Windows","5/30/19 5:43:51 PM"
"ap-northeast-2c","g3.16xlarge","6.537000","Windows","5/30/19 5:43:51 PM"
"ap-northeast-2a","g3.16xlarge","4.679500","Windows","5/30/19 5:43:51 PM"
"ap-northeast-2c","m5.24xlarge","5.926300","Windows","5/30/19 5:41:55 PM"
"ap-northeast-2b","m5.24xlarge","5.926300","Windows","5/30/19 5:41:55 PM"
