"AvailabilityZone","InstanceType","Price","ProductDescription","Timestamp"
"ap-south-1b","r4.8xlarge","0.496200","Linux/UNIX","5/30/19 6:21:27 PM"
"ap-south-1b","m5.xlarge","0.087900","Linux/UNIX","5/30/19 6:21:00 PM"
"ap-south-1b","r3.4xlarge","0.260400","Linux/UNIX","5/30/19 6:13:19 PM"
"ap-south-1b","c5d.4xlarge","0.231800","Linux/UNIX","5/30/19 6:08:05 PM"
"ap-south-1c","c5d.4xlarge","0.231800","Linux/UNIX","5/30/19 6:08:05 PM"
"ap-south-1a","c5d.4xlarge","0.231800","Linux/UNIX","5/30/19 6:08:05 PM"
"ap-south-1b","c5d.4xlarge","0.967800","Windows","5/30/19 6:08:05 PM"
"ap-south-1c","c5d.4xlarge","0.967800","Windows","5/30/19 6:08:05 PM"
"ap-south-1a","c5d.4xlarge","0.967800","Windows","5/30/19 6:08:05 PM"
"ap-south-1a","r4.4xlarge","0.293500","Linux/UNIX","5/30/19 6:05:24 PM"
"ap-south-1b","c5d.xlarge","0.062000","Linux/UNIX","5/30/19 5:56:26 PM"
"ap-south-1a","r3.2xlarge","0.151300","Linux/UNIX","5/30/19 5:56:24 PM"
"ap-south-1b","m5d.metal","5.404800","Windows","5/30/19 5:56:24 PM"
"ap-south-1c","m5.xlarge","0.062700","Linux/UNIX","5/30/19 5:48:30 PM"
"ap-south-1b","r5.4xlarge","0.991000","Windows","5/30/19 5:41:28 PM"
"ap-south-1c","r5.4xlarge","0.991000","Windows","5/30/19 5:41:28 PM"
"ap-south-1a","r5.4xlarge","0.991000","Windows","5/30/19 5:41:28 PM"
"ap-south-1b","r5.4xlarge","0.255000","Linux/UNIX","5/30/19 5:41:28 PM"
"ap-south-1c","r5.4xlarge","0.255000","Linux/UNIX","5/30/19 5:41:28 PM"
"ap-south-1a","r5.4xlarge","0.255000","Linux/UNIX","5/30/19 5:41:28 PM"
"ap-south-1b","r5d.2xlarge","0.495500","Windows","5/30/19 5:41:23 PM"
"ap-south-1c","r5d.2xlarge","0.495500","Windows","5/30/19 5:41:23 PM"
"ap-south-1a","r5d.2xlarge","0.495500","Windows","5/30/19 5:41:23 PM"
"ap-south-1b","r5d.2xlarge","0.158100","Linux/UNIX","5/30/19 5:41:22 PM"
"ap-south-1c","r5d.2xlarge","0.127500","Linux/UNIX","5/30/19 5:41:22 PM"
"ap-south-1a","r5d.2xlarge","0.155600","Linux/UNIX","5/30/19 5:41:22 PM"
"ap-south-1b","c5.18xlarge","4.355200","Windows","5/30/19 5:41:13 PM"
"ap-south-1c","c5.18xlarge","4.355200","Windows","5/30/19 5:41:13 PM"
"ap-south-1a","c5.18xlarge","4.355200","Windows","5/30/19 5:41:13 PM"
"ap-south-1b","c5.18xlarge","1.043200","Linux/UNIX","5/30/19 5:41:13 PM"
"ap-south-1c","c5.18xlarge","1.043200","Linux/UNIX","5/30/19 5:41:13 PM"
"ap-south-1a","c5.18xlarge","1.043200","Linux/UNIX","5/30/19 5:41:13 PM"
"ap-south-1a","r5d.2xlarge","0.155600","Linux/UNIX","5/30/19 5:40:33 PM"
"ap-south-1c","r5d.12xlarge","2.973000","Windows","5/30/19 5:40:27 PM"
"ap-south-1b","m5.2xlarge","0.241300","Linux/UNIX","5/30/19 5:32:04 PM"
"ap-south-1b","i3.xlarge","0.290200","Windows","5/30/19 5:29:49 PM"
"ap-south-1c","i3.xlarge","0.290200","Windows","5/30/19 5:29:49 PM"
"ap-south-1a","i3.xlarge","0.290200","Windows","5/30/19 5:29:49 PM"
"ap-south-1b","i3.xlarge","0.106200","Linux/UNIX","5/30/19 5:29:49 PM"
"ap-south-1c","i3.xlarge","0.106200","Linux/UNIX","5/30/19 5:29:49 PM"
"ap-south-1a","i3.xlarge","0.106200","Linux/UNIX","5/30/19 5:29:49 PM"
"ap-south-1b","r5d.large","0.031900","Linux/UNIX","5/30/19 5:29:47 PM"
"ap-south-1c","r5d.large","0.031900","Linux/UNIX","5/30/19 5:29:47 PM"
"ap-south-1a","r5d.large","0.031900","Linux/UNIX","5/30/19 5:29:47 PM"
"ap-south-1b","r5d.large","0.123900","Windows","5/30/19 5:29:47 PM"
"ap-south-1c","r5d.large","0.123900","Windows","5/30/19 5:29:47 PM"
"ap-south-1a","r5d.large","0.123900","Windows","5/30/19 5:29:47 PM"
"ap-south-1b","r5.xlarge","0.080000","Linux/UNIX","5/30/19 5:29:43 PM"
"ap-south-1c","r5.xlarge","0.063700","Linux/UNIX","5/30/19 5:29:43 PM"
"ap-south-1a","r5.xlarge","0.080400","Linux/UNIX","5/30/19 5:29:43 PM"
"ap-south-1b","t2.small","0.008600","Linux/UNIX","5/30/19 5:29:43 PM"
"ap-south-1a","t2.small","0.008600","Linux/UNIX","5/30/19 5:29:43 PM"
