"AvailabilityZone","InstanceType","Price","ProductDescription","Timestamp"
"ca-central-1b","m5d.xlarge","0.244700","Windows","5/30/19 6:45:54 PM"
"ca-central-1a","m5d.xlarge","0.244700","Windows","5/30/19 6:45:54 PM"
"ca-central-1b","m5d.xlarge","0.060700","Linux/UNIX","5/30/19 6:45:54 PM"
"ca-central-1a","m5d.xlarge","0.060700","Linux/UNIX","5/30/19 6:45:54 PM"
"ca-central-1b","c5d.18xlarge","4.352800","Windows","5/30/19 6:45:37 PM"
"ca-central-1a","c5d.18xlarge","4.352800","Windows","5/30/19 6:45:37 PM"
"ca-central-1b","c5d.18xlarge","1.040800","Linux/UNIX","5/30/19 6:45:29 PM"
"ca-central-1a","c5d.18xlarge","1.040800","Linux/UNIX","5/30/19 6:45:29 PM"
"ca-central-1b","t3.nano","0.001700","Linux/UNIX","5/30/19 6:45:25 PM"
"ca-central-1a","t3.nano","0.001700","Linux/UNIX","5/30/19 6:45:25 PM"
"ca-central-1b","t3.nano","0.006300","Windows","5/30/19 6:45:25 PM"
"ca-central-1a","t3.nano","0.006300","Windows","5/30/19 6:45:25 PM"
"ca-central-1b","p3.2xlarge","1.377800","Windows","5/30/19 6:45:19 PM"
"ca-central-1b","p3.2xlarge","1.009800","Linux/UNIX","5/30/19 6:45:19 PM"
"ca-central-1b","r4.large","0.122300","Windows","5/30/19 5:46:23 PM"
"ca-central-1a","r4.large","0.122300","Windows","5/30/19 5:46:23 PM"
"ca-central-1b","t2.xlarge","0.061400","Linux/UNIX","5/30/19 5:46:12 PM"
"ca-central-1a","t2.xlarge","0.061400","Linux/UNIX","5/30/19 5:46:12 PM"
"ca-central-1b","t2.xlarge","0.102400","Windows","5/30/19 5:46:01 PM"
"ca-central-1a","t2.xlarge","0.102400","Windows","5/30/19 5:46:01 PM"
"ca-central-1b","i3.4xlarge","0.412800","Linux/UNIX","5/30/19 5:45:54 PM"
"ca-central-1a","i3.4xlarge","0.412800","Linux/UNIX","5/30/19 5:45:54 PM"
"ca-central-1b","i3.4xlarge","1.148800","Windows","5/30/19 5:45:54 PM"
"ca-central-1a","i3.4xlarge","1.148800","Windows","5/30/19 5:45:54 PM"
"ca-central-1b","x1.16xlarge","5.144800","Windows","5/30/19 5:45:36 PM"
"ca-central-1a","x1.16xlarge","5.144800","Windows","5/30/19 5:45:36 PM"
"ca-central-1b","x1.16xlarge","2.200800","Linux/UNIX","5/30/19 5:45:36 PM"
"ca-central-1a","x1.16xlarge","2.200800","Linux/UNIX","5/30/19 5:45:36 PM"
"ca-central-1b","t2.small","0.007700","Linux/UNIX","5/30/19 5:45:30 PM"
"ca-central-1a","t2.small","0.007700","Linux/UNIX","5/30/19 5:45:30 PM"
"ca-central-1b","t2.small","0.016900","Windows","5/30/19 5:45:29 PM"
"ca-central-1a","t2.small","0.016900","Windows","5/30/19 5:45:29 PM"
"ca-central-1b","r4.large","0.030300","Linux/UNIX","5/30/19 5:45:27 PM"
"ca-central-1a","r4.large","0.030300","Linux/UNIX","5/30/19 5:45:27 PM"
"ca-central-1b","r4.2xlarge","0.121100","Linux/UNIX","5/30/19 5:45:25 PM"
"ca-central-1a","r4.2xlarge","0.121100","Linux/UNIX","5/30/19 5:45:25 PM"
"ca-central-1b","r4.2xlarge","0.489100","Windows","5/30/19 5:45:25 PM"
"ca-central-1a","r4.2xlarge","0.489100","Windows","5/30/19 5:45:25 PM"
"ca-central-1a","r4.4xlarge","0.243800","Linux/UNIX","5/30/19 5:35:15 PM"
"ca-central-1b","d2.4xlarge","1.646800","Windows","5/30/19 5:27:32 PM"
"ca-central-1a","d2.4xlarge","1.646800","Windows","5/30/19 5:27:32 PM"
"ca-central-1b","r5d.4xlarge","0.257000","Linux/UNIX","5/30/19 5:10:02 PM"
"ca-central-1b","r5.24xlarge","5.942500","Windows","5/30/19 4:57:15 PM"
"ca-central-1a","r5.24xlarge","5.942500","Windows","5/30/19 4:57:15 PM"
"ca-central-1b","r5.24xlarge","1.526500","Linux/UNIX","5/30/19 4:57:15 PM"
"ca-central-1a","r5.24xlarge","1.526500","Linux/UNIX","5/30/19 4:57:15 PM"
"ca-central-1b","r5.12xlarge","0.763200","Linux/UNIX","5/30/19 4:46:17 PM"
"ca-central-1a","r5.12xlarge","0.763200","Linux/UNIX","5/30/19 4:46:17 PM"
"ca-central-1b","x1.32xlarge","4.401600","Linux/UNIX","5/30/19 4:46:16 PM"
"ca-central-1a","x1.32xlarge","4.401600","Linux/UNIX","5/30/19 4:46:16 PM"
"ca-central-1b","x1.32xlarge","10.289600","Windows","5/30/19 4:46:01 PM"
"ca-central-1a","x1.32xlarge","10.289600","Windows","5/30/19 4:46:01 PM"
"ca-central-1b","t3.large","0.055300","Windows","5/30/19 4:45:29 PM"
"ca-central-1a","t3.large","0.055300","Windows","5/30/19 4:45:29 PM"
"ca-central-1b","t3.large","0.027700","Linux/UNIX","5/30/19 4:45:29 PM"
"ca-central-1a","t3.large","0.027700","Linux/UNIX","5/30/19 4:45:29 PM"
"ca-central-1b","m5d.24xlarge","1.457100","Linux/UNIX","5/30/19 4:45:19 PM"
"ca-central-1a","m5d.24xlarge","1.457100","Linux/UNIX","5/30/19 4:45:19 PM"
"ca-central-1b","m5d.24xlarge","5.873100","Windows","5/30/19 4:45:19 PM"
"ca-central-1a","m5d.24xlarge","5.873100","Windows","5/30/19 4:45:19 PM"
"ca-central-1b","d2.4xlarge","0.910800","Linux/UNIX","5/30/19 3:57:15 PM"
"ca-central-1a","d2.4xlarge","0.910800","Linux/UNIX","5/30/19 3:57:15 PM"
"ca-central-1b","c4.4xlarge","0.220300","Linux/UNIX","5/30/19 3:57:14 PM"
"ca-central-1a","c4.4xlarge","0.220300","Linux/UNIX","5/30/19 3:57:14 PM"
"ca-central-1b","c4.4xlarge","0.956300","Windows","5/30/19 3:57:14 PM"
"ca-central-1a","c4.4xlarge","0.956300","Windows","5/30/19 3:57:14 PM"
"ca-central-1b","t3.small","0.025300","Windows","5/30/19 3:45:36 PM"
"ca-central-1a","t3.small","0.025300","Windows","5/30/19 3:45:36 PM"
"ca-central-1b","t3.small","0.006900","Linux/UNIX","5/30/19 3:45:36 PM"
"ca-central-1a","t3.small","0.006900","Linux/UNIX","5/30/19 3:45:36 PM"
"ca-central-1b","m5d.12xlarge","0.728500","Linux/UNIX","5/30/19 3:45:29 PM"
"ca-central-1a","m5d.12xlarge","0.728500","Linux/UNIX","5/30/19 3:45:29 PM"
"ca-central-1b","m5d.12xlarge","2.936500","Windows","5/30/19 3:45:29 PM"
"ca-central-1a","m5d.12xlarge","2.936500","Windows","5/30/19 3:45:29 PM"
"ca-central-1b","p3.8xlarge","4.039200","Linux/UNIX","5/30/19 3:45:25 PM"
"ca-central-1b","p3.8xlarge","5.511200","Windows","5/30/19 3:45:24 PM"
"ca-central-1b","t2.large","0.058700","Windows","5/30/19 3:45:19 PM"
"ca-central-1a","t2.large","0.058700","Windows","5/30/19 3:45:19 PM"
"ca-central-1b","t2.large","0.030700","Linux/UNIX","5/30/19 3:45:19 PM"
"ca-central-1a","t2.large","0.030700","Linux/UNIX","5/30/19 3:45:19 PM"
"ca-central-1b","r5.large","0.123800","Windows","5/30/19 3:28:15 PM"
"ca-central-1a","r5.large","0.123800","Windows","5/30/19 3:28:15 PM"
"ca-central-1a","r5d.4xlarge","0.990400","Windows","5/30/19 3:21:33 PM"
"ca-central-1b","r5.2xlarge","0.127200","Linux/UNIX","5/30/19 2:57:14 PM"
"ca-central-1a","r5.2xlarge","0.127200","Linux/UNIX","5/30/19 2:57:14 PM"
"ca-central-1b","r5.2xlarge","0.495200","Windows","5/30/19 2:57:14 PM"
"ca-central-1a","r5.2xlarge","0.495200","Windows","5/30/19 2:57:14 PM"
"ca-central-1b","r5.4xlarge","0.990400","Windows","5/30/19 2:45:54 PM"
"ca-central-1a","r5.4xlarge","0.990400","Windows","5/30/19 2:45:54 PM"
"ca-central-1b","r5.4xlarge","0.254400","Linux/UNIX","5/30/19 2:45:54 PM"
"ca-central-1a","r5.4xlarge","0.254400","Linux/UNIX","5/30/19 2:45:54 PM"
"ca-central-1b","p3.16xlarge","11.022400","Windows","5/30/19 2:45:25 PM"
"ca-central-1b","p3.16xlarge","8.078400","Linux/UNIX","5/30/19 2:45:25 PM"
"ca-central-1b","d2.2xlarge","0.455400","Linux/UNIX","5/30/19 1:57:14 PM"
"ca-central-1a","d2.2xlarge","0.455400","Linux/UNIX","5/30/19 1:57:14 PM"
"ca-central-1b","d2.2xlarge","0.823400","Windows","5/30/19 1:57:14 PM"
"ca-central-1a","d2.2xlarge","0.823400","Windows","5/30/19 1:57:14 PM"
"ca-central-1b","r5.large","0.031800","Linux/UNIX","5/30/19 1:48:03 PM"
"ca-central-1a","r5.large","0.031800","Linux/UNIX","5/30/19 1:48:03 PM"
"ca-central-1b","p3.8xlarge","5.511200","Windows","5/30/19 1:47:34 PM"
"ca-central-1b","p3.8xlarge","4.039200","Linux/UNIX","5/30/19 1:47:34 PM"
"ca-central-1b","i3.xlarge","0.287200","Windows","5/30/19 1:46:55 PM"
"ca-central-1a","i3.xlarge","0.287200","Windows","5/30/19 1:46:55 PM"
"ca-central-1b","i3.xlarge","0.103200","Linux/UNIX","5/30/19 1:46:31 PM"
"ca-central-1a","i3.xlarge","0.103200","Linux/UNIX","5/30/19 1:46:31 PM"
"ca-central-1b","p3.2xlarge","1.377800","Windows","5/30/19 1:46:18 PM"
"ca-central-1b","p3.2xlarge","1.009800","Linux/UNIX","5/30/19 1:46:18 PM"
"ca-central-1b","t2.medium","0.015400","Linux/UNIX","5/30/19 1:45:26 PM"
"ca-central-1a","t2.medium","0.015400","Linux/UNIX","5/30/19 1:45:26 PM"
"ca-central-1b","t2.medium","0.033400","Windows","5/30/19 1:45:25 PM"
"ca-central-1a","t2.medium","0.033400","Windows","5/30/19 1:45:25 PM"
