"AvailabilityZone","InstanceType","Price","ProductDescription","Timestamp"
"eu-north-1c","r5.2xlarge","0.120100","Linux/UNIX","5/30/19 7:00:06 PM"
"eu-north-1b","r5.2xlarge","0.120100","Linux/UNIX","5/30/19 7:00:06 PM"
"eu-north-1a","r5.2xlarge","0.120100","Linux/UNIX","5/30/19 7:00:06 PM"
"eu-north-1c","r5.2xlarge","0.488100","Windows","5/30/19 7:00:06 PM"
"eu-north-1b","r5.2xlarge","0.488100","Windows","5/30/19 7:00:06 PM"
"eu-north-1a","r5.2xlarge","0.488100","Windows","5/30/19 7:00:06 PM"
"eu-north-1a","r5d.24xlarge","5.857400","Windows","5/30/19 6:47:37 PM"
"eu-north-1a","r5d.metal","1.439600","Linux/UNIX","5/30/19 6:30:44 PM"
"eu-north-1c","r5d.24xlarge","1.441400","Linux/UNIX","5/30/19 5:31:41 PM"
"eu-north-1c","t3.medium","0.013000","Linux/UNIX","5/30/19 5:25:00 PM"
"eu-north-1b","t3.medium","0.013000","Linux/UNIX","5/30/19 5:25:00 PM"
"eu-north-1a","t3.medium","0.013000","Linux/UNIX","5/30/19 5:25:00 PM"
"eu-north-1c","t3.medium","0.031400","Windows","5/30/19 5:25:00 PM"
"eu-north-1b","t3.medium","0.031400","Windows","5/30/19 5:25:00 PM"
"eu-north-1a","t3.medium","0.031400","Windows","5/30/19 5:25:00 PM"
"eu-north-1c","r5.24xlarge","5.857400","Windows","5/30/19 5:24:58 PM"
"eu-north-1b","r5.24xlarge","5.857400","Windows","5/30/19 5:24:58 PM"
"eu-north-1a","r5.24xlarge","5.857400","Windows","5/30/19 5:24:58 PM"
"eu-north-1c","r5.24xlarge","1.441400","Linux/UNIX","5/30/19 5:24:57 PM"
"eu-north-1b","r5.24xlarge","1.441400","Linux/UNIX","5/30/19 5:24:57 PM"
"eu-north-1a","r5.24xlarge","1.441400","Linux/UNIX","5/30/19 5:24:57 PM"
"eu-north-1c","r5d.2xlarge","0.488100","Windows","5/30/19 5:24:55 PM"
"eu-north-1b","r5d.2xlarge","0.488100","Windows","5/30/19 5:24:55 PM"
"eu-north-1a","r5d.2xlarge","0.488100","Windows","5/30/19 5:24:55 PM"
"eu-north-1c","r5d.2xlarge","0.120100","Linux/UNIX","5/30/19 5:24:55 PM"
"eu-north-1b","r5d.2xlarge","0.120100","Linux/UNIX","5/30/19 5:24:55 PM"
"eu-north-1a","r5d.2xlarge","0.120100","Linux/UNIX","5/30/19 5:24:55 PM"
"eu-north-1c","d2.2xlarge","0.418800","Linux/UNIX","5/30/19 5:24:51 PM"
"eu-north-1b","d2.2xlarge","0.418800","Linux/UNIX","5/30/19 5:24:51 PM"
"eu-north-1a","d2.2xlarge","0.418800","Linux/UNIX","5/30/19 5:24:51 PM"
"eu-north-1c","d2.2xlarge","0.786800","Windows","5/30/19 5:24:51 PM"
"eu-north-1b","d2.2xlarge","0.786800","Windows","5/30/19 5:24:51 PM"
"eu-north-1a","d2.2xlarge","0.786800","Windows","5/30/19 5:24:51 PM"
