"AvailabilityZone","InstanceType","Price","ProductDescription","Timestamp"
"eu-west-3c","r5d.metal","5.989200","Windows","5/30/19 6:47:41 PM"
"eu-west-3c","c5.2xlarge","0.123200","Linux/UNIX","5/30/19 6:22:38 PM"
"eu-west-3c","d2.4xlarge","3.515300","Windows","5/30/19 6:06:32 PM"
"eu-west-3c","r5.large","0.033300","Linux/UNIX","5/30/19 6:01:18 PM"
"eu-west-3b","r5.large","0.033300","Linux/UNIX","5/30/19 6:01:18 PM"
"eu-west-3a","r5.large","0.033300","Linux/UNIX","5/30/19 6:01:18 PM"
"eu-west-3c","r5.large","0.125300","Windows","5/30/19 6:00:54 PM"
"eu-west-3b","r5.large","0.125300","Windows","5/30/19 6:00:54 PM"
"eu-west-3a","r5.large","0.125300","Windows","5/30/19 6:00:54 PM"
"eu-west-3b","r5d.metal","1.576200","Linux/UNIX","5/30/19 5:41:12 PM"
"eu-west-3c","i3.2xlarge","0.585200","Windows","5/30/19 5:39:06 PM"
"eu-west-3b","i3.2xlarge","0.585200","Windows","5/30/19 5:39:06 PM"
"eu-west-3a","i3.2xlarge","0.585200","Windows","5/30/19 5:39:06 PM"
"eu-west-3c","i3.2xlarge","0.217200","Linux/UNIX","5/30/19 5:39:06 PM"
"eu-west-3b","i3.2xlarge","0.217200","Linux/UNIX","5/30/19 5:39:06 PM"
"eu-west-3a","i3.2xlarge","0.217200","Linux/UNIX","5/30/19 5:39:06 PM"
"eu-west-3c","i3.8xlarge","0.868800","Linux/UNIX","5/30/19 5:38:52 PM"
"eu-west-3b","i3.8xlarge","0.868800","Linux/UNIX","5/30/19 5:38:52 PM"
"eu-west-3a","i3.8xlarge","0.868800","Linux/UNIX","5/30/19 5:38:52 PM"
"eu-west-3c","i3.8xlarge","2.340800","Windows","5/30/19 5:38:52 PM"
"eu-west-3b","i3.8xlarge","2.340800","Windows","5/30/19 5:38:52 PM"
"eu-west-3a","i3.8xlarge","2.340800","Windows","5/30/19 5:38:52 PM"
"eu-west-3c","t3.micro","0.011800","Linux/UNIX","5/30/19 5:37:47 PM"
"eu-west-3b","t3.micro","0.011800","Linux/UNIX","5/30/19 5:37:47 PM"
"eu-west-3a","t3.micro","0.011800","Linux/UNIX","5/30/19 5:37:47 PM"
"eu-west-3c","m5d.12xlarge","2.971600","Windows","5/30/19 5:34:56 PM"
"eu-west-3c","i3.2xlarge","0.585200","Windows","5/30/19 5:26:04 PM"
"eu-west-3b","i3.2xlarge","0.585200","Windows","5/30/19 5:26:04 PM"
"eu-west-3a","i3.2xlarge","0.585200","Windows","5/30/19 5:26:04 PM"
"eu-west-3c","i3.2xlarge","0.217200","Linux/UNIX","5/30/19 5:26:04 PM"
"eu-west-3b","i3.2xlarge","0.217200","Linux/UNIX","5/30/19 5:26:04 PM"
"eu-west-3a","i3.2xlarge","0.217200","Linux/UNIX","5/30/19 5:26:04 PM"
"eu-west-3c","r4.8xlarge","0.507900","Linux/UNIX","5/30/19 5:26:02 PM"
"eu-west-3b","r4.8xlarge","0.507900","Linux/UNIX","5/30/19 5:26:02 PM"
"eu-west-3a","r4.8xlarge","0.507900","Linux/UNIX","5/30/19 5:26:02 PM"
"eu-west-3c","r4.8xlarge","1.979900","Windows","5/30/19 5:26:02 PM"
"eu-west-3b","r4.8xlarge","1.979900","Windows","5/30/19 5:26:02 PM"
"eu-west-3a","r4.8xlarge","1.979900","Windows","5/30/19 5:26:02 PM"
"eu-west-3c","r5d.2xlarge","0.501300","Windows","5/30/19 5:26:01 PM"
"eu-west-3b","r5d.2xlarge","0.501300","Windows","5/30/19 5:26:01 PM"
"eu-west-3a","r5d.2xlarge","0.501300","Windows","5/30/19 5:26:01 PM"
"eu-west-3c","r5d.2xlarge","0.133300","Linux/UNIX","5/30/19 5:26:01 PM"
"eu-west-3b","r5d.2xlarge","0.133300","Linux/UNIX","5/30/19 5:26:01 PM"
"eu-west-3a","r5d.2xlarge","0.133300","Linux/UNIX","5/30/19 5:26:01 PM"
"eu-west-3c","t3.micro","0.021000","Windows","5/30/19 5:25:59 PM"
"eu-west-3b","t3.micro","0.021000","Windows","5/30/19 5:25:59 PM"
"eu-west-3a","t3.micro","0.021000","Windows","5/30/19 5:25:59 PM"
"eu-west-3c","i3.4xlarge","0.434400","Linux/UNIX","5/30/19 5:25:51 PM"
"eu-west-3b","i3.4xlarge","0.434400","Linux/UNIX","5/30/19 5:25:51 PM"
"eu-west-3a","i3.4xlarge","0.434400","Linux/UNIX","5/30/19 5:25:51 PM"
"eu-west-3c","i3.4xlarge","1.170400","Windows","5/30/19 5:25:51 PM"
"eu-west-3b","i3.4xlarge","1.170400","Windows","5/30/19 5:25:51 PM"
"eu-west-3a","i3.4xlarge","1.170400","Windows","5/30/19 5:25:51 PM"
"eu-west-3c","c5d.4xlarge","0.242400","Linux/UNIX","5/30/19 5:15:35 PM"
"eu-west-3b","c5d.4xlarge","0.242400","Linux/UNIX","5/30/19 5:15:35 PM"
"eu-west-3a","c5d.4xlarge","0.242400","Linux/UNIX","5/30/19 5:15:35 PM"
"eu-west-3c","c5d.4xlarge","0.978400","Windows","5/30/19 5:15:35 PM"
"eu-west-3b","c5d.4xlarge","0.978400","Windows","5/30/19 5:15:35 PM"
"eu-west-3a","c5d.4xlarge","0.978400","Windows","5/30/19 5:15:35 PM"
"eu-west-3c","t3.small","0.042000","Windows","5/30/19 5:15:32 PM"
"eu-west-3b","t3.small","0.042000","Windows","5/30/19 5:15:32 PM"
"eu-west-3a","t3.small","0.042000","Windows","5/30/19 5:15:32 PM"
"eu-west-3c","t3.small","0.023600","Linux/UNIX","5/30/19 5:15:32 PM"
"eu-west-3b","t3.small","0.023600","Linux/UNIX","5/30/19 5:15:32 PM"
"eu-west-3a","t3.small","0.023600","Linux/UNIX","5/30/19 5:15:32 PM"
"eu-west-3c","m5d.4xlarge","0.254500","Linux/UNIX","5/30/19 5:15:32 PM"
"eu-west-3b","m5d.4xlarge","0.254500","Linux/UNIX","5/30/19 5:15:32 PM"
"eu-west-3a","m5d.4xlarge","0.254500","Linux/UNIX","5/30/19 5:15:32 PM"
"eu-west-3c","m5d.4xlarge","0.990500","Windows","5/30/19 5:15:32 PM"
"eu-west-3b","m5d.4xlarge","0.990500","Windows","5/30/19 5:15:32 PM"
