"AvailabilityZone","InstanceType","Price","ProductDescription","Timestamp"
"sa-east-1c","m3.medium","0.110500","SUSE Linux","5/30/19 6:55:27 PM"
"sa-east-1c","m3.medium","0.010500","Linux/UNIX","5/30/19 6:55:27 PM"
"sa-east-1a","r4.2xlarge","0.271600","SUSE Linux","5/30/19 6:30:58 PM"
"sa-east-1a","r4.2xlarge","0.171600","Linux/UNIX","5/30/19 6:30:58 PM"
"sa-east-1c","m3.2xlarge","0.255400","SUSE Linux","5/30/19 5:43:53 PM"
"sa-east-1a","m3.2xlarge","0.255400","SUSE Linux","5/30/19 5:43:53 PM"
"sa-east-1c","m3.2xlarge","0.155400","Linux/UNIX","5/30/19 5:43:53 PM"
"sa-east-1a","m3.2xlarge","0.155400","Linux/UNIX","5/30/19 5:43:53 PM"
"sa-east-1c","m3.2xlarge","0.523400","Windows","5/30/19 5:43:53 PM"
"sa-east-1a","m3.2xlarge","0.523400","Windows","5/30/19 5:43:53 PM"
"sa-east-1c","c3.xlarge","0.182100","SUSE Linux","5/30/19 5:32:20 PM"
"sa-east-1c","c3.xlarge","0.082100","Linux/UNIX","5/30/19 5:32:20 PM"
"sa-east-1c","c4.4xlarge","0.410800","SUSE Linux","5/30/19 5:27:34 PM"
"sa-east-1a","c4.4xlarge","0.410800","SUSE Linux","5/30/19 5:27:34 PM"
"sa-east-1c","c4.4xlarge","0.310800","Linux/UNIX","5/30/19 5:27:34 PM"
"sa-east-1a","c4.4xlarge","0.310800","Linux/UNIX","5/30/19 5:27:34 PM"
"sa-east-1c","c4.4xlarge","1.046800","Windows","5/30/19 5:27:34 PM"
"sa-east-1a","c4.4xlarge","1.046800","Windows","5/30/19 5:27:34 PM"
"sa-east-1c","m3.large","0.138800","SUSE Linux","5/30/19 5:17:56 PM"
"sa-east-1a","m3.large","0.138800","SUSE Linux","5/30/19 5:17:56 PM"
"sa-east-1c","m3.large","0.038800","Linux/UNIX","5/30/19 5:17:56 PM"
"sa-east-1a","m3.large","0.038800","Linux/UNIX","5/30/19 5:17:56 PM"
"sa-east-1c","m3.large","0.130800","Windows","5/30/19 5:17:56 PM"
"sa-east-1a","m3.large","0.130800","Windows","5/30/19 5:17:56 PM"
"sa-east-1c","r4.2xlarge","0.270900","SUSE Linux","5/30/19 5:17:55 PM"
"sa-east-1a","r4.2xlarge","0.271700","SUSE Linux","5/30/19 5:17:55 PM"
"sa-east-1c","r4.2xlarge","0.170900","Linux/UNIX","5/30/19 5:17:55 PM"
"sa-east-1a","r4.2xlarge","0.171700","Linux/UNIX","5/30/19 5:17:55 PM"
"sa-east-1c","r4.2xlarge","0.538900","Windows","5/30/19 5:17:54 PM"
"sa-east-1a","r4.2xlarge","0.538900","Windows","5/30/19 5:17:54 PM"
"sa-east-1c","c4.large","0.138800","SUSE Linux","5/30/19 5:17:52 PM"
"sa-east-1c","c4.large","0.038800","Linux/UNIX","5/30/19 5:17:52 PM"
"sa-east-1a","c4.large","0.138800","SUSE Linux","5/30/19 5:17:52 PM"
"sa-east-1a","c4.large","0.038800","Linux/UNIX","5/30/19 5:17:52 PM"
"sa-east-1c","c4.large","0.130800","Windows","5/30/19 5:17:52 PM"
"sa-east-1a","c4.large","0.130800","Windows","5/30/19 5:17:52 PM"
"sa-east-1c","m4.xlarge","0.182700","SUSE Linux","5/30/19 5:17:42 PM"
"sa-east-1a","m4.xlarge","0.181600","SUSE Linux","5/30/19 5:17:42 PM"
"sa-east-1c","m4.xlarge","0.082700","Linux/UNIX","5/30/19 5:17:42 PM"
"sa-east-1a","m4.xlarge","0.081600","Linux/UNIX","5/30/19 5:17:42 PM"
"sa-east-1c","m4.xlarge","0.265600","Windows","5/30/19 5:17:42 PM"
"sa-east-1a","m4.xlarge","0.265600","Windows","5/30/19 5:17:42 PM"
"sa-east-1c","m4.16xlarge","4.249300","Windows","5/30/19 5:16:36 PM"
"sa-east-1a","m4.16xlarge","4.249300","Windows","5/30/19 5:16:36 PM"
"sa-east-1c","m4.16xlarge","1.405300","SUSE Linux","5/30/19 5:16:35 PM"
"sa-east-1a","m4.16xlarge","1.405300","SUSE Linux","5/30/19 5:16:35 PM"
"sa-east-1c","m4.16xlarge","1.305300","Linux/UNIX","5/30/19 5:16:35 PM"
"sa-east-1a","m4.16xlarge","1.305300","Linux/UNIX","5/30/19 5:16:35 PM"
"sa-east-1c","t2.medium","0.122300","SUSE Linux","5/30/19 5:16:30 PM"
"sa-east-1a","t2.medium","0.122300","SUSE Linux","5/30/19 5:16:30 PM"
"sa-east-1c","t2.medium","0.022300","Linux/UNIX","5/30/19 5:16:30 PM"
"sa-east-1a","t2.medium","0.022300","Linux/UNIX","5/30/19 5:16:30 PM"
"sa-east-1c","t2.medium","0.040300","Windows","5/30/19 5:16:30 PM"
"sa-east-1a","t2.medium","0.040300","Windows","5/30/19 5:16:30 PM"
