Instance Type,vCPU,Memory GiB,Savings over On-Demand*,Frequency of interruption
m5.large,2,8,79%,<5%
t3.micro,2,1,70%,<5%
r5ad.12xlarge,48,384,0%,<5%
r5a.12xlarge,48,384,69%,<5%
r5.large,2,16,83%,<5%
c5d.18xlarge,72,144,78%,<5%
r5ad.2xlarge,8,64,67%,<5%
c4.4xlarge,16,30,82%,<5%
m5ad.24xlarge,96,384,28%,<5%
c4.2xlarge,8,15,82%,<5%
c5.xlarge,4,8,78%,<5%
c5.4xlarge,16,32,78%,<5%
m4.large,2,8,81%,<5%
i3.4xlarge,16,122,70%,<5%
t2.micro,1,1,70%,<5%
r5a.xlarge,4,32,82%,<5%
r5ad.24xlarge,96,768,33%,<5%
r4.large,2,15.25,85%,<5%
m5ad.4xlarge,16,64,25%,<5%
c5.9xlarge,36,72,77%,<5%
r3.2xlarge,8,61,88%,<5%
c5n.9xlarge,36,96,0%,<5%
g3.16xlarge,64,488,0%,<5%
c5.large,2,4,78%,<5%
m5ad.2xlarge,8,32,39%,<5%
c4.8xlarge,36,60,82%,<5%
t2.2xlarge,8,32,70%,<5%
d2.8xlarge,36,244,70%,<5%
a1.2xlarge,8,16,81%,<5%
t3a.nano,2,0.5,66%,<5%
t3.large,2,8,70%,<5%
i3.2xlarge,8,61,70%,<5%
t2.medium,2,4,70%,<5%
m5.xlarge,4,16,79%,<5%
c5n.large,2,5.25,82%,<5%
m5a.12xlarge,48,192,0%,<5%
i3.large,2,15.25,70%,<5%
a1.large,2,4,81%,<5%
a1.4xlarge,16,32,81%,<5%
m5ad.12xlarge,48,192,0%,<5%
a1.medium,1,2,81%,<5%
m5a.24xlarge,96,384,0%,<5%
t3a.small,2,2,70%,<5%
a1.xlarge,4,8,81%,<5%
t2.xlarge,4,16,70%,<5%
i3.xlarge,4,30.5,70%,<5%
r5ad.xlarge,4,32,51%,<5%
c5d.xlarge,4,8,80%,<5%
r4.xlarge,4,30.5,85%,<5%
r4.2xlarge,8,61,85%,<5%
t2.large,2,8,70%,<5%
c5n.2xlarge,8,21,0%,<5%
r5ad.4xlarge,16,128,0%,<5%
p2.xlarge,4,61,70%,<5%
r4.4xlarge,16,122,85%,5-10%
t3a.2xlarge,8,32,70%,5-10%
c5d.large,2,4,80%,5-10%
t2.small,1,2,70%,5-10%
c4.xlarge,4,7.5,82%,5-10%
m5a.large,2,8,77%,5-10%
m5d.xlarge,4,16,82%,5-10%
t3.nano,2,0.5,69%,5-10%
r5.xlarge,4,32,83%,5-10%
m5d.large,2,8,82%,5-10%
m5a.xlarge,4,16,77%,5-10%
c5.2xlarge,8,16,78%,5-10%
t3.2xlarge,8,32,70%,5-10%
t3a.large,2,8,70%,5-10%
c4.large,2,3.75,82%,5-10%
r3.large,2,15.25,89%,5-10%
r3.xlarge,4,30.5,89%,5-10%
d2.4xlarge,16,122,70%,5-10%
c5d.2xlarge,8,16,80%,5-10%
t3.xlarge,4,16,70%,5-10%
t3.small,2,2,70%,5-10%
r5ad.large,2,16,84%,10-15%
m5ad.large,2,8,81%,10-15%
p3.16xlarge,64,488,70%,10-15%
t3a.micro,2,1,70%,10-15%
r5d.large,2,16,85%,10-15%
t3a.xlarge,4,16,70%,10-15%
r5a.large,2,16,82%,10-15%
x1.16xlarge,64,976,70%,10-15%
r5d.xlarge,4,32,85%,10-15%
t3.medium,2,4,70%,10-15%
c5d.4xlarge,16,32,80%,10-15%
t3a.medium,2,4,70%,10-15%
i2.xlarge,4,30.5,70%,10-15%
c5d.9xlarge,36,72,80%,10-15%
x1.32xlarge,128,1952,70%,10-15%
r3.4xlarge,16,122,89%,10-15%
m5d.12xlarge,48,192,82%,15-20%
r5a.2xlarge,8,64,82%,15-20%
i2.8xlarge,32,244,70%,15-20%
c5.18xlarge,72,144,70%,15-20%
m4.10xlarge,40,160,79%,15-20%
r5d.4xlarge,16,128,85%,15-20%
r5.metal,96,768,89%,>20%
m5.4xlarge,16,64,79%,>20%
r5.24xlarge,96,768,83%,>20%
r5d.metal,96,768,87%,>20%
r3.8xlarge,32,244,89%,>20%
c5n.18xlarge,72,192,82%,>20%
m5.24xlarge,96,384,79%,>20%
