InstanceType,vCPU,memory,savings_on_demand,freq_interruption,os,zone
c1.medium,2,1.7,56%,<5%,Windows,us-east-1
c1.xlarge,8,7.0,56%,>20%,Windows,us-east-1
c3.large,2,3.75,40%,<5%,Windows,us-east-1
c3.xlarge,4,7.5,40%,<5%,Windows,us-east-1
c3.2xlarge,8,15.0,40%,<5%,Windows,us-east-1
c3.4xlarge,16,30.0,40%,<5%,Windows,us-east-1
c3.8xlarge,32,60.0,40%,<5%,Windows,us-east-1
c4.large,2,3.75,36%,<5%,Windows,us-east-1
c4.xlarge,4,7.5,36%,<5%,Windows,us-east-1
c4.2xlarge,8,15.0,36%,5-10%,Windows,us-east-1
c4.4xlarge,16,30.0,36%,<5%,Windows,us-east-1
c4.8xlarge,36,60.0,36%,<5%,Windows,us-east-1
c5.large,2,4.0,30%,10-15%,Windows,us-east-1
c5.xlarge,4,8.0,30%,15-20%,Windows,us-east-1
c5.2xlarge,8,16.0,30%,>20%,Windows,us-east-1
c5.4xlarge,16,32.0,30%,5-10%,Windows,us-east-1
c5.9xlarge,36,72.0,30%,<5%,Windows,us-east-1
c5.18xlarge,72,144.0,30%,<5%,Windows,us-east-1
c5d.large,2,4.0,34%,>20%,Windows,us-east-1
c5d.xlarge,4,8.0,34%,<5%,Windows,us-east-1
c5d.2xlarge,8,16.0,34%,>20%,Windows,us-east-1
c5d.4xlarge,16,32.0,34%,<5%,Windows,us-east-1
c5d.9xlarge,36,72.0,34%,5-10%,Windows,us-east-1
c5d.18xlarge,72,144.0,34%,5-10%,Windows,us-east-1
c5n.large,2,5.25,38%,5-10%,Windows,us-east-1
c5n.xlarge,4,10.5,38%,<5%,Windows,us-east-1
c5n.2xlarge,8,21.0,38%,5-10%,Windows,us-east-1
c5n.4xlarge,16,42.0,38%,15-20%,Windows,us-east-1
c5n.9xlarge,36,96.0,38%,15-20%,Windows,us-east-1
c5n.18xlarge,72,192.0,38%,5-10%,Windows,us-east-1
d2.xlarge,4,30.5,59%,<5%,Windows,us-east-1
d2.2xlarge,8,61.0,60%,<5%,Windows,us-east-1
d2.4xlarge,16,122.0,63%,5-10%,Windows,us-east-1
d2.8xlarge,36,244.0,62%,5-10%,Windows,us-east-1
g2.2xlarge,8,15.0,59%,5-10%,Windows,us-east-1
g2.8xlarge,32,60.0,63%,<5%,Windows,us-east-1
g3.4xlarge,16,122.0,43%,5-10%,Windows,us-east-1
g3.8xlarge,32,244.0,43%,>20%,Windows,us-east-1
g3s.xlarge,4,30.5,56%,10-15%,Windows,us-east-1
h1.4xlarge,16,64.0,36%,<5%,Windows,us-east-1
i2.xlarge,4,30.5,61%,<5%,Windows,us-east-1
i2.2xlarge,8,61.0,61%,<5%,Windows,us-east-1
i2.4xlarge,16,122.0,61%,10-15%,Windows,us-east-1
i2.8xlarge,32,244.0,61%,10-15%,Windows,us-east-1
i3.large,2,15.25,44%,<5%,Windows,us-east-1
i3.xlarge,4,30.5,44%,<5%,Windows,us-east-1
i3.2xlarge,8,61.0,44%,<5%,Windows,us-east-1
i3.4xlarge,16,122.0,44%,<5%,Windows,us-east-1
i3.8xlarge,32,244.0,44%,<5%,Windows,us-east-1
m1.small,1,1.7,53%,<5%,Windows,us-east-1
m1.medium,1,3.75,63%,<5%,Windows,us-east-1
m1.large,2,7.5,63%,<5%,Windows,us-east-1
m1.xlarge,4,15.0,63%,<5%,Windows,us-east-1
m2.xlarge,2,17.1,66%,<5%,Windows,us-east-1
m2.2xlarge,4,34.2,66%,<5%,Windows,us-east-1
m2.4xlarge,8,68.4,66%,<5%,Windows,us-east-1
m3.medium,1,3.75,59%,<5%,Windows,us-east-1
m3.large,2,7.5,53%,<5%,Windows,us-east-1
m3.xlarge,4,15.0,53%,<5%,Windows,us-east-1
m3.2xlarge,8,30.0,53%,<5%,Windows,us-east-1
m4.large,2,8.0,35%,<5%,Windows,us-east-1
m4.xlarge,4,16.0,35%,<5%,Windows,us-east-1
m4.2xlarge,8,32.0,35%,<5%,Windows,us-east-1
m4.4xlarge,16,64.0,35%,5-10%,Windows,us-east-1
m4.10xlarge,40,160.0,35%,<5%,Windows,us-east-1
m4.16xlarge,64,256.0,35%,<5%,Windows,us-east-1
m5.large,2,8.0,33%,<5%,Windows,us-east-1
m5.xlarge,4,16.0,33%,>20%,Windows,us-east-1
m5.2xlarge,8,32.0,33%,10-15%,Windows,us-east-1
m5.4xlarge,16,64.0,33%,<5%,Windows,us-east-1
m5.12xlarge,48,192.0,33%,<5%,Windows,us-east-1
m5.24xlarge,96,384.0,33%,<5%,Windows,us-east-1
m5.metal,96,384.0,39%,<5%,Windows,us-east-1
m5a.large,2,8.0,29%,10-15%,Windows,us-east-1
m5a.xlarge,4,16.0,29%,5-10%,Windows,us-east-1
m5a.2xlarge,8,32.0,29%,5-10%,Windows,us-east-1
m5a.4xlarge,16,64.0,29%,5-10%,Windows,us-east-1
m5a.12xlarge,48,192.0,29%,>20%,Windows,us-east-1
m5a.24xlarge,96,384.0,29%,<5%,Windows,us-east-1
m5ad.large,2,8.0,35%,10-15%,Windows,us-east-1
m5ad.xlarge,4,16.0,35%,15-20%,Windows,us-east-1
m5ad.2xlarge,8,32.0,35%,15-20%,Windows,us-east-1
m5ad.4xlarge,16,64.0,35%,<5%,Windows,us-east-1
